"anno","nuts","zs","mm_prod"
1961,"ITC11",600,390.9599914550781
1962,"ITC11",600,297
1963,"ITC11",600,354.239990234375
1964,"ITC11",600,326.1600036621094
1965,"ITC11",600,278.6400146484375
1966,"ITC11",600,299.1600036621094
1967,"ITC11",600,355.32000732421875
1968,"ITC11",600,340.20001220703125
1969,"ITC11",600,357.4800109863281
1970,"ITC11",600,541.08001708984375
1971,"ITC11",600,288.3599853515625
1972,"ITC11",600,358.55999755859375
1973,"ITC11",600,167.39999389648438
1974,"ITC11",600,16.200000762939453
1975,"ITC11",600,286.20001220703125
1976,"ITC11",600,345.6000061035156
1977,"ITC11",600,268.9200134277344
1978,"ITC11",600,327.239990234375
1979,"ITC11",600,335.8800048828125
1980,"ITC11",600,402.8399963378906
1981,"ITC11",600,318.6000061035156
1982,"ITC11",600,349.9200134277344
1983,"ITC11",600,326.1600036621094
1984,"ITC11",600,341.2799987792969
1985,"ITC11",600,320.760009765625
1986,"ITC11",600,348.8399963378906
1987,"ITC11",600,177.1199951171875
1988,"ITC11",600,176.0399932861328
1989,"ITC11",600,357.4800109863281
1990,"ITC11",600,327.239990234375
1991,"ITC11",600,301.32000732421875
1992,"ITC11",600,392.0400085449219
1993,"ITC11",600,401.760009765625
1994,"ITC11",600,302.3999938964844
1995,"ITC11",600,312.1199951171875
1996,"ITC11",600,369.3599853515625
1997,"ITC11",600,84.23999786376953
1998,"ITC11",600,336.9599914550781
1999,"ITC11",600,333.7200012207031
2000,"ITC11",600,389.8800048828125
2001,"ITC11",600,342.3599853515625
2002,"ITC11",600,335.8800048828125
2003,"ITC11",600,321.8399963378906
2004,"ITC11",600,367.20001220703125
2005,"ITC11",600,396.3599853515625
2006,"ITC11",600,131.75999450683594
2007,"ITC11",600,254.8800048828125
2008,"ITC11",600,333.7200012207031
2009,"ITC11",600,471.9599914550781
2010,"ITC11",600,360.7200012207031
2011,"ITC11",600,352.0799865722656
2012,"ITC11",600,355.32000732421875
2013,"ITC11",600,45.36000061035156
2014,"ITC11",600,125.27999877929688
1961,"ITC11",700,352.0799865722656
1962,"ITC11",700,321.8399963378906
1963,"ITC11",700,384.4800109863281
1964,"ITC11",700,335.8800048828125
1965,"ITC11",700,267.8399963378906
1966,"ITC11",700,308.8800048828125
